2025-01-04|09:12:34 AM|Dining Out|Bistro 41|P|-85.50
2025-01-10|11:45:02 AM|Groceries|GreenMart|P|-132.20
2025-01-15|04:18:29 PM|Coffee Shop|Brew&Bean|P|-21.75
2025-01-20|08:22:19 AM|Salary|Orion Tech|D|2500.00
2025-01-22|12:37:11 PM|Streaming Subscription|VibeStream|P|-14.99
2025-01-27|07:05:44 PM|Gas Station|FuelMax|P|-58.65
2025-01-30|06:55:22 AM|Concert Ticket|StageLive|P|-120.00
2025-02-02|02:13:39 PM|Gift Purchase|Urban Box|D|310.50
2025-02-10|09:00:01 AM|Online Purchase|GearSphere|P|-247.35
2025-02-14|03:21:50 PM|Gym Fee|FitCore|P|-49.99
2025-02-20|10:48:18 AM|Coffee Shop|Daily Grind|D|12.50
2025-02-28|12:05:00 PM|Salary|Orion Tech|D|2500.00
2025-03-03|04:40:33 PM|Dining Out|NoodleCraft|P|-92.70
2025-03-10|08:00:00 AM|Streaming Subscription|Screenie|D|9.99
2025-03-15|11:12:10 AM|Groceries|MarketFresh|P|-147.89
